Country,Weather,Food Type,Recommended Foods
Bhutan,Hot,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Afghanistan,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Hot,Lunch,"['Kottu Roti', 'Fish Curry', 'Rice']"
India,Cold,Dinner,"['Tandoori Chicken', 'Dal Makhani', 'Roti']"
Bhutan,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Pakistan,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
India,Humid,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Pakistan,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
China,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Afghanistan,Hot,Lunch,"['Kabuli Pulao', 'Mantu', 'Naan']"
Bhutan,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Afghanistan,Rainy,Breakfast,"['Bolani', 'Chai', 'Eggs']"
Afghanistan,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
India,Cold,Dinner,"['Tandoori Chicken', 'Dal Makhani', 'Roti']"
Pakistan,Rainy,Breakfast,"['Paratha', 'Omelette', 'Chai']"
Nepal,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
China,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Humid,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
China,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Humid,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Pakistan,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Hot,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Afghanistan,Rainy,Breakfast,"['Bolani', 'Chai', 'Eggs']"
Nepal,Rainy,Breakfast,"['Aloo Tama', 'Aloo Ko Achar', 'Tea']"
India,Cold,Dinner,"['Tandoori Chicken', 'Dal Makhani', 'Roti']"
Afghanistan,Rainy,Breakfast,"['Bolani', 'Chai', 'Eggs']"
Bangladesh,Hot,Lunch,"['Bhuna Khichuri', 'Fish Curry', 'Rice']"
Sri Lanka,Hot,Lunch,"['Kottu Roti', 'Fish Curry', 'Rice']"
Pakistan,Hot,Lunch,"['Biryani', 'Chicken Karahi', 'Naan']"
Nepal,Humid,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Pakistan,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Afghanistan,Humid,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Hot,Lunch,"['Ema Datshi', 'Red Rice', 'Pork Curry']"
India,Hot,Lunch,"['Rajma Chawal', 'Paneer Butter Masala', 'Naan']"
Bhutan,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Humid,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Afghanistan,Humid,Dinner,"['Food 1', 'Food 2', 'Food 3']"
